2026-02-17 14:02:23 | PySTA | INFO | logger.py:70 | Logger initialized. Log file: Logs\pysta_2026-02-17_14-02-23.log
2026-02-17 14:02:41 | PySTA.__main__ | INFO | main.py:150 | ============================================================
2026-02-17 14:02:41 | PySTA.__main__ | INFO | main.py:151 | PySTA Starting
2026-02-17 14:02:41 | PySTA.__main__ | INFO | main.py:152 | ============================================================
2026-02-17 14:02:41 | PySTA.__main__ | INFO | main.py:153 | Python version: 3.11.9 (tags/v3.11.9:de54cf5, Apr  2 2024, 10:12:12) [MSC v.1938 64 bit (AMD64)]
2026-02-17 14:02:41 | PySTA.__main__ | INFO | main.py:154 | Log file: Logs\pysta_2026-02-17_14-02-23.log
2026-02-17 14:02:42 | PySTA.Src.utils.config_loader | INFO | config_loader.py:76 | No configuration file found. Using defaults.
2026-02-17 14:02:42 | PySTA.__main__ | INFO | main.py:105 | Configuration loaded: STAConfig(enable_setup=True, enable_hold=True, enable_ocv=False, enable_si=False, enable_derating=False, ocv_derate_data=1.0, ocv_derate_clock=1.0, ocv_derate_early=0.95, ocv_derate_late=1.05, si_aggressor_coupling_threshold=0.1, si_noise_margin=0.2, max_paths_per_clock=10, max_path_depth=100, report_violations_only=False, report_timing_details=True, report_capacitance=True, report_transition=True)
2026-02-17 14:02:42 | PySTA.__main__ | INFO | main.py:158 | Application initialized successfully
2026-02-17 14:02:44 | PySTA.Src.utils.config_loader | INFO | config_loader.py:76 | No configuration file found. Using defaults.
2026-02-17 14:02:44 | PySTA.Src.utils.config_loader | INFO | config_loader.py:76 | No configuration file found. Using defaults.
2026-02-17 14:02:46 | PySTA.Src.gui.main_window | INFO | main_window.py:221 | PySTA main window ready
2026-02-17 14:02:48 | PySTA.__main__ | INFO | main.py:130 | Main window created and displayed
2026-02-17 14:04:44 | PySTA.Src.liberty_parser.liberty_parser | INFO | liberty_parser.py:44 | Parsing Liberty file: C:/Users/CodewithKunal/Documents/fast.lib
2026-02-17 14:04:44 | PySTA.Src.utils.file_utils | DEBUG | file_utils.py:105 | Successfully read C:/Users/CodewithKunal/Documents/fast.lib with utf-8 encoding
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | INFO | liberty_parser.py:72 | Successfully parsed 0 cells from C:/Users/CodewithKunal/Documents/fast.lib
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | INFO | liberty_parser.py:44 | Parsing Liberty file: C:/Users/CodewithKunal/Documents/slow.lib
2026-02-17 14:04:45 | PySTA.Src.gui.file_loader_widget | INFO | file_loader_widget.py:697 | Successfully processed: C:/Users/CodewithKunal/Documents/fast.lib
2026-02-17 14:04:45 | PySTA.Src.utils.file_utils | DEBUG | file_utils.py:105 | Successfully read C:/Users/CodewithKunal/Documents/slow.lib with utf-8 encoding
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
2026-02-17 14:04:45 | PySTA.Src.liberty_parser.liberty_parser | WARNING | liberty_parser.py:261 | Could not parse group opening: timing () {
